BoxNumber,FolderNumber,Contents,Date
4,157,"Croker, Thomas Crofton, 1798-1854. 4 ALS to T. J. Pettigrew",1844-46
4,158,"Cruikshank, George, 1792-1878. 5 ALS to T. J. Pettigrew",1854-55
4,159,"Cullimore, Isaac, 1791-1852. 4 ALS to T. J. Pettigrew",1838-44
4,160,"Cunningham, Peter, 1816-1869. 2 LS to T. J. Pettigrew","1852 Jan, Mar"
4,161,"Curtis, Sir William, bart., 1804-1870. ALS to T. J. Pettigrew",[1859 or later]
4,162,"Darnley, John Stuart Bligh, 6th Earl of, 1827-1896. 6 ALS to T. J. Pettigrew",1853 Jan-Aug
4,163,"Dartmouth, William Legge, 4th Earl of, 1784-1853. 2 ALS to T. J. Pettigrew","1814, 1823"
4,164,"Dartmouth, William Walter Legge, 5th Earl of, 1823-1891. 4 ALS to T. J. Pettigrew",1860 Feb-Oct
4,165,"Davidson, John, 1797-1836. 4 ALS to T. J. Pettigrew",[after 1834]
4,166,6 ALS to T. J. Pettigrew,1850-[56?]
4,167,Prospectus (signed),n.d.
4,168,"Davis, Nathan, 1812-1882. 2 ALS to T. J. Pettigrew",1835-52
4,169,"Delamere, Thomas Cholmondeley, 1st Baron, 1767-1855. AL to T. J. Pettigrew",n.d.
4,170,"Delille, Charles Jean. 2 ALS to T. J. Pettigrew","1834, 1841"
4,171,"De Morgan, Augustus, 1806-1871. ALS to T. J. Pettigrew",1845 Dec 17
4,172,"Denman, Thomas Denman, 1st Baron, 1779-1854. 4 ALS to T. J. Pettigrew",1838-41
4,173,"Devon, William Reginald Courtenay, 30th Earl of, 1807-1888. ALS and 2 AL to T. J. Pettigrew",1861 Feb-Jul
4,174,"Devonshire, William Cavendish, 7th Duke of, 1808-1891. AL to T. J. Pettigrew",1850 Jun 14
4,175,"Devonshire, William George Spencer Cavendish, 6th Duke of, 1790-1858. ALS and AL to T. J. Pettigrew","1833, 1851"
4,176,"D'Eyncourt, Charles Tennyson, 1784-1861. ALS to T. J. Pettigrew",1859 Mar 9
4,177,"Dillon, Sir William Henry, 1779-1857. 4 ALS to T. J. Pettigrew",1834 May
4,178,"Dimock, James Francis, 1810-1876. 3 ALS to T. J. Pettigrew and 1 ALS to ""Mr. Archdeacon""",n.d
4,179,"Dixon, William Hepworth, 1821-1879. ALS and AL to T. J. Pettigrew",1854 Feb
4,180,"Donkin, Sir Rufane Shaw, 1773-1841. 2 ALS to T. J. Pettigrew","[1829], 1833"
4,181,"Donnelly, Sir Ross, 1761?-1840. 4 ALS and 3 AL to T. J. Pettigrew",1826-33
4,182,"Dover, Georgiana (Cavendish) Agar-Ellis, Baroness, 1804-1860. AL to Mr. Stephenson",n.d.
4,183,"Downshire, Arthur Wills Blundell Sandys Trumbull Windsor Hill, 4th Marquis of, 1812-1868. ALS to T. J. Pettigrew",1859 Jul 18
4,184,"Doyle, Sir Charles William, 1770-1842. AL to T. J. Pettigrew",1823 Jun 8
4,185,"Doyle, Sir John, bart., 1750?-1834. 2 ALS to T. J. Pettigrew","1829, 1830"
4,186,"Drury, Henry Joseph Thomas, 1778-1841. 3 ALS to T. J. Pettigrew",1829-32
4,187,"Ducie, Henry John Reynolds-Moreton, 3d Earl of, 1827-1921. 5 ALS to T. J. Pettigrew",1860 Apr
4,188,"Duckett, Sir George, bart., 1777-1856. 2 AL to T. J. Pettigrew",1830 May-Jun
4,189,"Dufour, Charles, 1814-1887. ALS (in French) to T. J. Pettigrew",1851 Mar 21
4,190,"Dunbar, M. J. M. 7 ALS to T. J. Pettigrew",[1853 or later]
4,191,"Dundas, Sir James Whitley Deans, 1785-1862. 3 ALS and 1 AL to T. J. Pettigrew",1829-[59]
4,192,"Dungannon, Arthur Hill-Trevor, 3d Viscount, 1798-1862. AL to T. J. Pettigrew",1860 May 14
4,193,"Dunkin, Alfred John, 1812-1879. ALS to T. J. Pettigrew",1846 Jun 10
4,194,"Dunraven, Edward Richard Wyndham Wyndham-Quin, 3d Earl of, 1812-1871. 2 ALS to T. J. Pettigrew",1861 May
4,195,"Dupont, Gustave Jules, 1820-1903. ALS to T. J. Pettigrew",1851 Sep 26
4,196,"Dwarris, Sir Fortunatus William Lilley, 1786-1860. 2 ALS to T. J. Pettigrew",1857 Jul-Aug
5,197,"Edwards, William Camden, 1777-1855. ALS to T. J. Pettigrew",[1831 or later]
5,198,"Effingham, Henry Howard, 2d Earl of, 1806-1889. 5 ALS to T. J. Pettigrew",1845-61
5,199,"Effingham, Kenneth Alexander Howard, 1st Earl of, 1767-1845. 3 ALS to T. J. Pettigrew",1843-44
5,200,"Eglinton, Archibald William Montgomerie, 13th Earl of, 1812-1861. ALS to T. J. Pettigrew",1857 Sep 21
5,201,"Egmont, Bridget (Wynn) Perceval, Countess of, d. 1826. ALS and AL to T. J. Pettigrew",[1821 or later]
5,202,"Ellis, Sir Henry, 1777-1869. 14 ALS to T. J. Pettigrew and 1 ALS to F. Maurice",1821-57
5,203,"Erksine, Thomas, 1788-1864. 4 ALS to T. J. Pettigrew",1856-60
5,204,"Erksine, Thomas Erksine, 1st Baron, 1750-1823. 2 ALS and 2 AL to T. J. Pettigrew",1815-18
5,205,"Essex, George Capel-Coningsby, 6th Earl of, 1757-1839. ALS to T. J. Pettigrew",1821 Jun 16
5,206,"Essex, Sarah (Bazett) Capel-Coningsby, Countess of, 1761-1838. ALS to Dr. Shearman",n.d.
5,207,"Estcourt, Thomas Henry Sutton Sotheron, 1801-1876. ALS to T. J. Pettigrew",n.d.
5,208,"Ewart, William, 1798-1869. ALS to T. J. Pettigrew",1858 Jun 1
5,209,"Exmouth, Edward Pellew, 3d Viscount, 1811-1876. ALS to T. J. Pettigrew",1861 Apr 22
